order,name_ko,name_en
1,창세기,Genesis
2,출애굽기,Exodus
3,레위기,Leviticus
4,민수기,Numbers
5,신명기,Deuteronomy
6,여호수아,Joshua
7,사사기,Judges
8,룻기,Ruth
9,사무엘상,1 Samuel
10,사무엘하,2 Samuel
11,열왕기상,1 Kings
12,열왕기하,2 Kings
13,역대상,1 Chronicles
14,역대하,2 Chronicles
15,에스라,Ezra
16,느헤미야,Nehemiah
17,에스더,Esther
18,욥기,Job
19,시편,Psalms
20,잠언,Proverbs
21,전도서,Ecclesiastes
22,아가,Song of Solomon
23,이사야,Isaiah
24,예레미야,Jeremiah
25,예레미야애가,Lamentations
26,에스겔,Ezekiel
27,다니엘,Daniel
28,호세아,Hosea
29,요엘,Joel
30,아모스,Amos
31,오바댜,Obadiah
32,요나,Jonah
33,미가,Micah
34,나훔,Nahum
35,하박국,Habakkuk
36,스바냐,Zephaniah
37,학개,Haggai
38,스가랴,Zechariah
39,말라기,Malachi
